iteration, phys_vars, stats, best_params, tn, fp, fn, tp, BA, AUC, custom,JAC ,Centropy, coeffs, exp_coeffs 
0/46,Phys: flood; tide; , Stats: , C: 10.0,  14587, 8753, 12, 8, 0.5124892887746358, 0.5124892887746358, 0.3714241337078144, 0.0009118887495725522, 13.52408484399023, [0.22692609], [125.4737124] 
1/46,Phys: flood; nao; , Stats: , C: 100.0,  12073, 11267, 4, 16, 0.6586332476435304, 0.6586332476435304, 0.263020304186655, 0.0014175600248073005, 17.390754167326172, [-1.80781543], [16.40120422] 
2/46,Phys: flood; P; , Stats: mean; , C: 10.0,  19995, 3345, 3, 17, 0.8533419023136246, 0.8533419023136246, 0.802820513888528, 0.005052005943536404, 5.165845528542989, [-8.95159803], [0.012953] 
3/46,Phys: flood; P; , Stats: std; , C: 1000.0,  15773, 7567, 10, 10, 0.5878963153384746, 0.5878963153384749, 0.4692818969540413, 0.0013180440226703571, 11.691042882249171, [1.40446229], [407.33358763] 
4/46,Phys: flood; P; , Stats: min; , C: 100.0,  19709, 3631, 3, 17, 0.8472150814053128, 0.8472150814053128, 0.7916160522083681, 0.0046562585592988225, 5.607133408221392, [-10.65781904], [0.00235162] 
5/46,Phys: flood; P; , Stats: max; , C: 1,  20378, 2962, 4, 16, 0.8365467009425879, 0.8365467009425879, 0.7933702552861663, 0.0053655264922870555, 4.576433045895611, [-3.61794406], [2.68377966] 
6/46,Phys: flood; T; , Stats: mean; , C: 10.0,  15322, 8018, 5, 15, 0.7032347900599829, 0.7032347900599829, 0.5485385758745185, 0.0018661358546902215, 12.379205100209196, [-5.27016861], [0.51427434] 
7/46,Phys: flood; T; , Stats: std; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00067135], [99.93288788] 
8/46,Phys: flood; T; , Stats: min; , C: 100.0,  15261, 8079, 4, 16, 0.7269280205655527, 0.7269280205655527, 0.5635191102877435, 0.0019755525373502903, 12.471782977064809, [-6.30702749], [0.18234454] 
9/46,Phys: flood; T; , Stats: max; , C: 1000.0,  15102, 8238, 2, 18, 0.773521850899743, 0.773521850899743, 0.5893824136906737, 0.0021797045289416324, 12.714028421503652, [-9.22098487], [0.00989412] 
10/46,Phys: flood; u; , Stats: mean; , C: 10.0,  14722, 8618, 10, 10, 0.5653813196229649, 0.5653813196229649, 0.4197026495743936, 0.0011576753878212549, 13.312698691836589, [0.45580619], [157.74445929] 
11/46,Phys: flood; u; , Stats: std; , C: 100.0,  17853, 5487, 12, 8, 0.5824550128534705, 0.5824550128534703, 0.4979093208961033, 0.001452696568004358, 8.484762413816577, [11.4172731], [9087798.86046922] 
12/46,Phys: flood; u; , Stats: min; , C: 1,  16196, 7144, 12, 8, 0.5469580119965725, 0.5469580119965723, 0.4394261430431281, 0.0011166945840312675, 11.041454779645647, [-0.66343346], [51.50797885] 
13/46,Phys: flood; u; , Stats: max; , C: 100.0,  14851, 8489, 8, 12, 0.6181448157669237, 0.6181448157669238, 0.4658485680886567, 0.0014102714772593725, 13.11057032736851, [3.10986352], [2241.79844984] 
14/46,Phys: flood; v; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00024547], [99.97545617] 
15/46,Phys: flood; v; , Stats: std; , C: 100.0,  17398, 5942, 7, 13, 0.6977077977720652, 0.697707797772065, 0.6060470787978992, 0.0021804763502180475, 9.179096490233643, [8.37987458], [435846.22443564] 
16/46,Phys: flood; v; , Stats: min; , C: 10.0,  15431, 7909, 12, 8, 0.5305698371893744, 0.5305698371893744, 0.40895765496349445, 0.0010089544709294992, 12.221822709554663, [-1.42821924], [23.97354545] 
17/46,Phys: flood; v; , Stats: max; , C: 1000.0,  13761, 9579, 4, 16, 0.6947943444730078, 0.6947943444730076, 0.46352854016853623, 0.0016668402958641526, 14.786229898455035, [1.96360796], [712.4987449] 
18/46,Phys: flood; u2; , Stats: mean; , C: 10.0,  18670, 4670, 14, 6, 0.5499571550985433, 0.5499571550985434, 0.4625504400571031, 0.001279317697228145, 7.2272462531945525, [7.3336082], [153089.56011583] 
19/46,Phys: flood; u2; , Stats: std; , C: 100.0,  18240, 5100, 13, 7, 0.565745501285347, 0.5657455012853471, 0.48127638855421284, 0.0013671875, 7.889178072712158, [10.01856782], [2243926.9848901] 
20/46,Phys: flood; u2; , Stats: min; , C: 1000.0,  20332, 3008, 16, 4, 0.5355612682090831, 0.5355612682090831, 0.42999376682155116, 0.001321003963011889, 4.6659249935227, [7.12479571], [124239.43265904] 
21/46,Phys: flood; u2; , Stats: max; , C: 10.0,  18564, 4776, 11, 9, 0.6226863753213367, 0.6226863753213367, 0.5490696433556725, 0.0018765638031693077, 7.386171608463347, [8.33788332], [417923.42849249] 
22/46,Phys: flood; v2; , Stats: mean; , C: 100.0,  18524, 4816, 0, 20, 0.8968294772922023, 0.8968294772922023, 0.8075963971525723, 0.0041356492969396195, 7.4309175822768925, [4.61710416], [10120.05468919] 
23/46,Phys: flood; v2; , Stats: std; , C: 10.0,  18408, 4932, 0, 20, 0.8943444730077121, 0.8943444730077121, 0.8022720445823504, 0.004038772213247173, 7.609901477531069, [4.96688208], [14357.85222125] 
24/46,Phys: flood; v2; , Stats: min; , C: 100.0,  20510, 2830, 10, 10, 0.6893744644387318, 0.6893744644387317, 0.6391491297001507, 0.0035087719298245615, 4.382019504498832, [5.64617274], [28320.54891526] 
25/46,Phys: flood; v2; , Stats: max; , C: 100.0,  18161, 5179, 1, 19, 0.8640531276778063, 0.8640531276778062, 0.770019284138886, 0.0036545489517214847, 7.992556701867587, [7.37453841], [159485.54989741] 
26/46,Phys: flood; pr; , Stats: mean; , C: 1000.0,  17765, 5575, 9, 11, 0.6555698371893746, 0.6555698371893746, 0.5731850251248886, 0.001966041108132261, 8.615914406028688, [13.24949138], [56778118.1677359] 
27/46,Phys: flood; pr; , Stats: std; , C: 10.0,  16913, 6427, 11, 9, 0.5873179091688089, 0.5873179091688089, 0.491509126652042, 0.0013959981386691485, 9.933606186606859, [6.10282813], [44712.04998253] 
28/46,Phys: flood; pr; , Stats: min; , C: 1000.0,  22995, 345, 17, 3, 0.5676092544987147, 0.5676092544987147, 0.4355480033157539, 0.00821917808219178, 0.5585531903621752, [7.72025497], [225353.40825519] 
29/46,Phys: flood; pr; , Stats: max; , C: 100.0,  15975, 7365, 11, 9, 0.5672236503856041, 0.5672236503856041, 0.4549423653962897, 0.0012186865267433988, 11.380906994782883, [8.88441771], [721861.00956543] 
30/46,Phys: flood; pr_cum3; , Stats: mean; , C: 10.0,  16576, 6764, 0, 20, 0.8550985432733504, 0.8550985432733504, 0.7110349549649602, 0.00294811320754717, 10.436612650855666, [7.99119354], [295482.15629922] 
31/46,Phys: flood; pr_cum3; , Stats: std; , C: 1000.0,  15821, 7519, 8, 12, 0.6389245929734362, 0.6389245929734362, 0.5147079910441492, 0.0015917230401910067, 11.613894651536164, [8.94181146], [764503.31971001] 
32/46,Phys: flood; pr_cum3; , Stats: min; , C: 100.0,  18390, 4950, 1, 19, 0.8689588688946015, 0.8689588688946015, 0.7804416063596442, 0.003822937625754527, 7.639217805202013, [7.51208326], [183002.19849144] 
33/46,Phys: flood; pr_cum3; , Stats: max; , C: 100.0,  16250, 7090, 4, 16, 0.748114824335904, 0.748114824335904, 0.6169987580677092, 0.002250351617440225, 10.945790973561518, [6.77749578], [87786.75953982] 
34/46,Phys: flood; pr_cum5; , Stats: mean; , C: 100.0,  16518, 6822, 0, 20, 0.8538560411311054, 0.8538560411311054, 0.7078786329667794, 0.0029231218941829875, 10.526104598482755, [9.31000623], [1104801.69383456] 
35/46,Phys: flood; pr_cum5; , Stats: std; , C: 100.0,  15937, 7403, 8, 12, 0.6414095972579263, 0.6414095972579263, 0.5201311098276584, 0.001616597063182002, 11.434910756281987, [7.58881923], [197597.89617357] 
