iteration, phys_vars, stats, best_params, tn, fp, fn, tp, BA, AUC, custom,JAC ,Centropy, coeffs, exp_coeffs 
0/46,Phys: flood; tide; , Stats: , C: 1,  15816, 7524, 13, 7, 0.5138174807197944, 0.5138174807197944, 0.39977146082918047, 0.0009278897136797455, 11.629324297678766, [0.14630909], [115.75539163] 
1/46,Phys: flood; nao; , Stats: , C: 1,  14858, 8482, 10, 10, 0.5682947729220222, 0.5682947729220222, 0.42657661221631576, 0.0011761938367442955, 13.102855504297208, [-0.5822703], [55.86286689] 
2/46,Phys: flood; P; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.01030066], [98.97522127] 
3/46,Phys: flood; P; , Stats: std; , C: 0.1,  19348, 3992, 14, 6, 0.5644815766923736, 0.5644815766923736, 0.48118944550190834, 0.0014955134596211367, 6.181116244726168, [0.1076718], [111.36821706] 
4/46,Phys: flood; P; , Stats: min; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.0101072], [98.99437078] 
5/46,Phys: flood; P; , Stats: max; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00903783], [99.10028911] 
6/46,Phys: flood; T; , Stats: mean; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00452126], [99.54889417] 
7/46,Phys: flood; T; , Stats: std; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00067135], [99.93288788] 
8/46,Phys: flood; T; , Stats: min; , C: 0.01,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.02888374], [97.15294089] 
9/46,Phys: flood; T; , Stats: max; , C: 0.001,  23340, 0, 20, 0, 0.5, 0.5, 0.0, 0.0, 0.030859292285203264, [-0.00406566], [99.59425956] 
